date,equity
2025-01-02,100000.0
2025-01-03,102003.63583940863
2025-01-06,104480.63384253233
2025-01-07,101739.1313491959
2025-01-08,101065.62940986102
2025-01-10,103075.89361196173
2025-01-13,100470.61620590987
2025-01-14,102987.05380129084
2025-01-15,106443.93793270273
2025-01-16,108484.77867974874
2025-01-17,110482.08397459766
2025-01-21,113551.25710331879
2025-01-22,115645.61475821314
2025-01-23,117341.35984342266
2025-01-24,116424.50315087814
2025-01-27,103220.51754584568
2025-01-28,108176.46587455158
2025-01-29,109950.03047077976
2025-01-30,113313.97622453977
2025-01-31,111796.31415324956
2025-02-03,111364.43972124864
2025-02-04,115487.90034641139
2025-02-05,116786.37461765042
2025-02-06,118994.72039593944
2025-02-07,119213.32913601327
2025-02-10,121298.76800509311
2025-02-11,118809.20339679655
2025-02-12,118958.6105042879
2025-02-13,123716.48435408402
2025-02-14,127061.2715049677
2025-02-18,126586.76785358622
2025-02-19,124516.39759088676
2025-02-20,117479.27106203193
2025-02-21,109319.91292116449
2025-02-24,105406.60062600615
2025-02-25,102601.99353516458
2025-02-26,104927.28796550282
2025-02-27,99390.83566774921
2025-02-28,101777.23286556141
2025-03-03,96997.8170711075
2025-03-04,95635.89615357423
2025-03-05,97495.661479721
2025-03-06,89054.37677547346
2025-03-07,89591.40905094518
2025-03-10,82045.5224353099
2025-03-11,83828.34110148056
2025-03-12,87000.27496027932
2025-03-13,84057.32326292233
2025-03-14,88690.22299065567
2025-03-17,90364.96385009495
2025-03-18,85849.25968277482
2025-03-19,89687.06784266695
2025-03-20,90771.66187273906
2025-03-21,92299.76439638011
2025-03-24,98360.28907880514
2025-03-25,98729.61783295941
2025-03-26,94291.66629359146
2025-03-27,90383.37862436372
2025-03-28,88303.90003256904
2025-03-31,87545.15365825068
2025-04-01,89361.82984131982
2025-04-02,92335.0361044433
2025-04-03,82414.55025241019
2025-04-04,74321.26350128207
2025-04-07,76355.2694807799
2025-04-08,75931.39543728204
2025-04-09,90200.9823797671
2025-04-10,84608.0530994845
2025-04-11,85786.26645635274
2025-04-14,85873.94421450708
2025-04-15,87717.51985984562
2025-04-16,84725.62098594087
2025-04-17,85306.40424205652
2025-04-21,81433.4396223158
2025-04-22,85715.89713204312
2025-04-23,89656.97862953851
2025-04-24,93670.73238697907
2025-04-25,95970.62630353299
2025-04-28,97141.5842617431
2025-04-29,97910.03777564487
2025-04-30,97075.03211416888
2025-05-01,98141.57518385662
2025-05-02,100889.72774911895
2025-05-05,100488.0570179901
2025-05-06,99870.51269144108
2025-05-07,100051.43516138259
2025-05-08,103242.83351069513
2025-05-09,101442.62233007801
2025-05-12,103622.54925285975
2025-05-13,107024.23165011458
2025-05-14,107422.0854906032
2025-05-15,107488.06179869958
2025-05-16,108732.72945754949
2025-05-19,110189.20756925044
2025-05-20,109974.69644542891
2025-05-21,108217.69554999619
2025-05-22,108690.57265309106
2025-05-23,109247.66569436899
2025-05-27,111970.61725628337
2025-05-28,112198.73055234671
2025-05-29,111275.41464829608
2025-05-30,113719.92889004137
2025-06-02,115281.28230310259
2025-06-03,116995.8421906125
2025-06-04,117225.79818677162
2025-06-05,116699.96158653818
2025-06-06,118311.72524642885
2025-06-09,116243.08256127687
2025-06-10,115346.9310605559
2025-06-11,116373.18785925227
2025-06-12,115769.1590385955
2025-06-13,114068.20125304702
2025-06-16,115571.23108978714
2025-06-17,113989.77534486607
2025-06-18,114997.5575904023
2025-06-20,115109.51123767869
2025-06-23,115848.62553420286
2025-06-24,118244.22067098714
2025-06-25,117180.17356198166
2025-06-26,118413.0575283123
2025-06-27,118092.25110112109
2025-06-30,121717.49064793784
2025-07-01,117951.68882187108
2025-07-02,119535.93882039569
2025-07-03,120618.40084932379
2025-07-07,121237.93075202948
2025-07-08,119960.99421225788
2025-07-09,121900.78460098823
2025-07-10,121064.24336561453
2025-07-11,120556.27405132307
2025-07-14,123056.65175895192
2025-07-15,122371.27013376089
2025-07-16,123066.94015228745
2025-07-17,123638.93493061855
2025-07-18,124973.00249446908
2025-07-21,124160.64568221744
2025-07-22,121508.02266715856
2025-07-23,123093.30280413793
2025-07-24,121051.57316124187
2025-07-25,122629.06502887193
2025-07-28,123367.69282750935
2025-07-29,122491.27055919245
2025-07-30,123488.14339502373
2025-07-31,125587.79450636325
2025-08-01,122852.23963638359
2025-08-04,125941.04289839494
2025-08-05,125116.15565607682
2025-08-06,126817.09354944905
2025-08-07,128226.31804903917
2025-08-08,129188.41112229237
2025-08-11,129091.90541170856
2025-08-12,131019.3994166482
2025-08-13,128403.92278480904
2025-08-14,126980.58587743738
2025-08-15,127477.31204008411
2025-08-18,128476.58816959379
2025-08-19,123299.30482841664
2025-08-20,122609.64488529839
2025-08-21,122590.16156461189
2025-08-22,125660.74465650486
2025-08-25,125487.21424831427
2025-08-26,128035.29991680809
2025-08-27,126884.73819680455
2025-08-28,128628.20753547722
2025-08-29,127111.42020975819
2025-09-02,125687.98280680105
2025-09-03,126148.62707363161
2025-09-04,127745.69971202542
2025-09-05,126170.14398824092
2025-09-08,130402.32809036992
2025-09-09,132355.52595717047
2025-09-10,133416.84661680285
2025-09-11,134142.45656669931
2025-09-12,133949.20209357745
2025-09-15,134167.0968111892
2025-09-16,134331.70113815815
2025-09-17,134502.8488540052
2025-09-18,137567.4706145591
2025-09-19,139474.5096660484
2025-09-22,138749.71238476565
2025-09-23,137744.05054480693
2025-09-24,136274.22017641176
2025-09-25,134714.5023906049
2025-09-26,135872.4231414784
2025-09-29,140091.61849992257
2025-09-30,140187.72353072293
2025-10-01,139742.53755022257
2025-10-02,141898.383922752
2025-10-03,140510.97285407255
2025-10-06,138850.40635784625
2025-10-07,139401.78136405564
2025-10-08,140987.21402737644
2025-10-09,140566.8546189629
2025-10-10,132732.0696314918
2025-10-13,135699.82665553596
2025-10-14,135543.53042514343
2025-10-15,136315.180565785
2025-10-16,133595.34765278437
2025-10-17,132544.67106068166
2025-10-20,133254.14549836575
2025-10-21,132958.1330101444
2025-10-22,129536.14334694405
2025-10-23,134367.39442958575
2025-10-24,136997.56880586917
2025-10-27,139785.34111748703
2025-10-28,140203.36674834086
2025-10-29,143288.83320590967
2025-10-30,137905.93667817133
2025-10-31,141195.546677177
2025-11-03,143849.68039490833
2025-11-04,136988.508235229
2025-11-05,140385.8707643474
2025-11-06,136366.45861401712
2025-11-07,136220.3280722805
2025-11-10,142590.51392338192
2025-11-11,139052.27681917747
2025-11-12,137515.80594643665
2025-11-13,130164.58322581748
2025-11-14,130308.74010292512
2025-11-17,129494.29657551732
2025-11-18,126794.28474925003
2025-11-19,129521.04029665013
2025-11-20,122520.50761400277
2025-11-21,121757.66093465236
2025-11-24,129730.69715433363
2025-11-25,131360.52253756256
2025-11-26,135458.29604782452
2025-11-28,137717.88828446995
2025-12-01,136761.04061187617
2025-12-02,138172.93113868663
2025-12-03,140260.76372553693
2025-12-04,142405.22907224487
2025-12-05,143921.902945199
2025-12-08,146772.2698892015
2025-12-09,148382.30769600844
2025-12-10,150866.7630821393
2025-12-11,149212.12735783195
2025-12-12,142040.53755379093
2025-12-15,140814.4466217612
2025-12-16,142694.05325182795
2025-12-17,137065.4717341999
2025-12-18,141015.58853385467
2025-12-19,146493.0828824512
2025-12-22,148349.6885828349
