date,equity
2025-01-02,100000.0
2025-01-03,102514.43947125672
2025-01-06,105175.36185715806
2025-01-07,102175.26249010014
2025-01-08,101431.00893934745
2025-01-10,103335.62638271452
2025-01-13,100705.59045262975
2025-01-14,103122.3512164129
2025-01-15,106572.39977491737
2025-01-16,108613.41002293632
2025-01-17,110596.36452616297
2025-01-21,113770.74398787894
2025-01-22,116219.75963727394
2025-01-23,117807.37024488127
2025-01-24,117344.31602082546
2025-01-27,101834.41699180078
2025-01-28,105819.95555814798
2025-01-29,107411.13886482306
2025-01-30,111005.68000721566
2025-01-31,110042.45275828833
2025-02-03,109698.62094738067
2025-02-04,113851.14892687455
2025-02-05,115652.43906968979
2025-02-06,117752.80108531074
2025-02-07,117834.63077111749
2025-02-10,120616.85761877631
2025-02-11,118387.78295880643
2025-02-12,118341.35587989254
2025-02-13,122695.80027151555
2025-02-14,125657.66864516596
2025-02-18,125198.50398719597
2025-02-19,123116.87329173276
2025-02-20,117305.21392839952
2025-02-21,109395.681749582
2025-02-24,104849.03965352592
2025-02-25,101799.57956747459
2025-02-26,104283.94234221912
2025-02-27,98074.2766478827
2025-02-28,100199.03164609488
2025-03-03,94988.33983494322
2025-03-04,94364.4590129288
2025-03-05,95929.89295001636
2025-03-06,89129.55389135018
2025-03-07,89426.24229483033
2025-03-10,83764.00893025832
2025-03-11,84815.01935834596
2025-03-12,86966.37694413419
2025-03-13,84434.7173342641
2025-03-14,88403.97452702429
2025-03-17,90685.1902096586
2025-03-18,86707.39152545201
2025-03-19,89626.76486385787
2025-03-20,90454.78698535636
2025-03-21,91453.6465888967
2025-03-24,96129.91353496298
2025-03-25,96365.92369872515
2025-03-26,93207.01811460532
2025-03-27,89862.4997059985
2025-03-28,88340.29503505127
2025-03-31,88142.94972835381
2025-04-01,89274.0777954195
2025-04-02,91380.83317635545
2025-04-03,83312.69305939412
2025-04-04,75985.2935691437
2025-04-07,77753.58483751019
2025-04-08,77151.79211096528
2025-04-09,88828.51442620928
2025-04-10,83957.63389634638
2025-04-11,85336.12592461161
2025-04-14,85880.54747109671
2025-04-15,87646.72639681921
2025-04-16,85242.38064933744
2025-04-17,85850.49985101497
2025-04-21,83040.61236613731
2025-04-22,86753.82779419362
2025-04-23,90149.93020725047
2025-04-24,93572.76450537749
2025-04-25,94516.45579022203
2025-04-28,95763.05764781675
2025-04-29,96136.68965384478
2025-04-30,95961.31766487258
2025-05-01,96329.16761749877
2025-05-02,99698.63999169128
2025-05-05,99217.63031054121
2025-05-06,97863.00883945815
2025-05-07,98293.31655195051
2025-05-08,102255.10492669496
2025-05-09,100606.32854453193
2025-05-12,104175.15660624937
2025-05-13,108185.56793819301
2025-05-14,108627.65359896698
2025-05-15,108147.22125957976
2025-05-16,109675.68939846009
2025-05-19,110956.02760288339
2025-05-20,110722.29042406671
2025-05-21,108263.145297247
2025-05-22,108872.93154239547
2025-05-23,109249.1713900602
2025-05-27,112781.12692286888
2025-05-28,112773.83015909052
2025-05-29,112207.28495964064
2025-05-30,114323.0074521357
2025-06-02,115764.83611118325
2025-06-03,117680.46804480263
2025-06-04,117925.42980830019
2025-06-05,117305.37057321468
2025-06-06,118938.81874059059
2025-06-09,117347.96541960427
2025-06-10,116160.31050799701
2025-06-11,117543.39273819287
2025-06-12,116913.36297913462
2025-06-13,114985.96410002804
2025-06-16,116905.15625891843
2025-06-17,115533.47292136103
2025-06-18,116787.79637658707
2025-06-20,117193.38752450759
2025-06-23,117881.66338298838
2025-06-24,120450.40171788797
2025-06-25,119533.6031058634
2025-06-26,121454.4406324534
2025-06-27,121601.57976302397
2025-06-30,125424.84810451663
2025-07-01,122746.80201703162
2025-07-02,124256.23741716261
2025-07-03,125324.39304329299
2025-07-07,126462.42206315511
2025-07-08,124870.89413341497
2025-07-09,127319.97967753207
2025-07-10,127261.32727151697
2025-07-11,126078.36530751103
2025-07-14,128497.49419275802
2025-07-15,127431.30536790616
2025-07-16,127928.1433692468
2025-07-17,128699.16623602848
2025-07-18,129629.48423397099
2025-07-21,128499.64591543241
2025-07-22,126168.19460439424
2025-07-23,128318.51315651987
2025-07-24,127129.0973591453
2025-07-25,128817.72936381341
2025-07-28,128831.50071427834
2025-07-29,127080.10235384214
2025-07-30,128456.58891106158
2025-07-31,130092.48811067504
2025-08-01,127429.41356055072
2025-08-04,130589.54260963543
2025-08-05,129543.77388988243
2025-08-06,130600.15409339618
2025-08-07,133951.62420448632
2025-08-08,135422.80624297133
2025-08-11,135151.96169918918
2025-08-12,138328.78185292237
2025-08-13,136095.07137396059
2025-08-14,134822.93869377635
2025-08-15,135421.95125949968
2025-08-18,136709.17345618922
2025-08-19,132125.2140506258
2025-08-20,130941.60897876283
2025-08-21,130310.62319935
2025-08-22,133873.12522073573
2025-08-25,133922.80271146132
2025-08-26,136544.4412056423
2025-08-27,134975.57446848805
2025-08-28,136723.83822267532
2025-08-29,135323.20957965765
2025-09-02,134190.57680097953
2025-09-03,134833.88936470464
2025-09-04,136475.16823090953
2025-09-05,135332.5316613259
2025-09-08,139807.54416556878
2025-09-09,141345.0323979481
2025-09-10,142490.79055917388
2025-09-11,142234.4025171895
2025-09-12,141919.0939494426
2025-09-15,142098.89098285366
2025-09-16,142030.2452121975
2025-09-17,143014.38830995065
2025-09-18,145111.5281316595
2025-09-19,147834.93913485075
2025-09-22,147259.5857150367
2025-09-23,146825.77769603475
2025-09-24,145051.44381161666
2025-09-25,143736.22630510878
2025-09-26,144443.3197060241
2025-09-29,149394.5714927817
2025-09-30,149709.80503599523
2025-10-01,150239.9643408089
2025-10-02,151308.28421550844
2025-10-03,149483.8274467777
2025-10-06,147269.22267609235
2025-10-07,147724.60994814208
2025-10-08,149201.5991734973
2025-10-09,149186.6905143393
2025-10-10,141997.96331309265
2025-10-13,145353.65684920855
2025-10-14,144812.88596009815
2025-10-15,146688.6625285749
2025-10-16,144655.65444539752
2025-10-17,143504.8866178633
2025-10-20,143744.31994798908
2025-10-21,143416.288245196
2025-10-22,139003.23831550396
2025-10-23,143033.9605674162
2025-10-24,145421.64438514336
2025-10-27,148450.51921461668
2025-10-28,147068.17984987385
2025-10-29,149538.91919698357
2025-10-30,144598.51936860775
2025-10-31,148579.71756265667
2025-11-03,150425.25405841452
2025-11-04,143360.03031232822
2025-11-05,146318.2005316367
2025-11-06,140132.4676199565
2025-11-07,140966.92889207994
2025-11-10,147471.56015682503
2025-11-11,144098.5523349193
2025-11-12,142951.97749495305
2025-11-13,136383.43110158067
2025-11-14,136349.44095395098
2025-11-17,135567.6800450411
2025-11-18,133427.2538895506
2025-11-19,134818.6139870134
2025-11-20,126324.83225400676
2025-11-21,127246.12274993255
2025-11-24,135450.67576147968
2025-11-25,136007.43442008243
2025-11-26,140672.86752284603
2025-11-28,143035.0531564292
2025-12-01,142267.07795065435
2025-12-02,143189.89122139983
2025-12-03,144063.18496319858
2025-12-04,145427.70898442576
2025-12-05,147175.29224116943
2025-12-08,149279.01408367674
2025-12-09,151398.58131115904
2025-12-10,153579.04378128838
2025-12-11,152880.25639686064
2025-12-12,144564.2920350594
2025-12-15,143074.4140451962
2025-12-16,143663.81393272986
2025-12-17,138655.82697649224
2025-12-18,143353.22972604676
2025-12-19,148332.0439686557
2025-12-22,149252.4306178788
2025-12-23,148614.18079686296
2025-12-24,149970.8158776004
2025-12-26,149644.48652552097
2025-12-29,148201.2301289191
2025-12-30,147046.43048402402
2025-12-31,144297.83631240204
2026-01-02,148587.074016698
2026-01-05,151668.4031563034
2026-01-06,159399.25081384607
2026-01-07,156310.71098362352
2026-01-08,153029.86832591618
2026-01-09,158131.078244309
2026-01-12,162227.30015350302
2026-01-13,162781.50144314938
2026-01-14,160860.89364640985
2026-01-15,161989.397736415
2026-01-16,162126.58657101847
2026-01-20,161060.63352538776
2026-01-21,162898.27079589927
2026-01-22,161803.01095791082
2026-01-23,162434.613914399
2026-01-26,163433.86180194296
2026-01-27,166750.39940834465
2026-01-28,166799.22272099924
2026-01-29,166380.09369191751
2026-01-30,156375.9409014474
2026-02-02,158249.80450689475
2026-02-03,159900.16722673885
2026-02-04,148834.2033479087
2026-02-05,143976.674253722
2026-02-06,152945.00492894984
2026-02-09,156927.57354355857
2026-02-10,154293.20410944175
2026-02-11,156309.2768785547
2026-02-12,152343.63178883833
2026-02-13,155682.94540289717
2026-02-17,154540.71535735685
2026-02-18,157333.72981555495
2026-02-19,157127.69980917854
