date,equity
2025-01-02,100000.0
2025-01-03,102006.49577419148
2025-01-06,104671.59269778406
2025-01-07,101731.54987433292
2025-01-08,101004.62078022952
2025-01-10,102812.77369526977
2025-01-13,100237.24923212123
2025-01-14,102619.88290942229
2025-01-15,106098.46751072009
2025-01-16,108164.86781496907
2025-01-17,110135.14389828601
2025-01-21,113263.21802140915
2025-01-22,115692.45060644766
2025-01-23,117274.82813918198
2025-01-24,116809.7492284879
2025-01-27,101580.17665712544
2025-01-28,105525.10657747116
2025-01-29,107088.71008839464
2025-01-30,110603.27211396018
2025-01-31,109681.21979700575
2025-02-03,109347.23054229649
2025-02-04,113469.9062059922
2025-02-05,115381.01369231145
2025-02-06,117268.31944414129
2025-02-07,117364.6785295747
2025-02-10,120069.31207017273
2025-02-11,117896.22506061257
2025-02-12,117728.627940614
2025-02-13,122104.37026445533
2025-02-14,125074.21438568973
2025-02-18,124491.97417225227
2025-02-19,122668.73066400416
2025-02-20,116900.27463633798
2025-02-21,108957.88664316558
2025-02-24,104566.28572029395
2025-02-25,101545.63065345072
2025-02-26,104075.68017589068
2025-02-27,97848.1526096604
2025-02-28,100007.19751769934
2025-03-03,94708.13395460862
2025-03-04,94061.62141111422
2025-03-05,95888.89027257545
2025-03-06,89077.84755740706
2025-03-07,89371.53623611841
2025-03-10,83727.4598687111
2025-03-11,84794.52735670032
2025-03-12,86950.54791271595
2025-03-13,84429.86472076536
2025-03-14,88392.78950061716
2025-03-17,90674.27190789109
2025-03-18,86698.94050926714
2025-03-19,89620.30188610274
2025-03-20,90452.42311583321
2025-03-21,91440.67270928706
2025-03-24,96106.38225010197
2025-03-25,96340.85624155845
2025-03-26,93178.83234595627
2025-03-27,89810.73846565143
2025-03-28,88312.12951245357
2025-03-31,88114.21089925623
2025-04-01,89260.20141122623
2025-04-02,91446.28760992443
2025-04-03,83317.69507068847
2025-04-04,75971.11350778735
2025-04-07,77755.76748737015
2025-04-08,77154.96726330693
2025-04-09,88902.70368496103
2025-04-10,84012.73827767003
2025-04-11,85392.73491836699
2025-04-14,85927.40576216251
2025-04-15,87704.22371295809
2025-04-16,85281.37004861952
2025-04-17,85891.85573002887
2025-04-21,83067.23775433566
2025-04-22,86791.68904142815
2025-04-23,90206.59156644542
2025-04-24,93653.36695223882
2025-04-25,94613.78560044516
2025-04-28,95862.14281697787
2025-04-29,96241.75042051662
2025-04-30,96054.25302612387
2025-05-01,96702.18102477495
2025-05-02,100053.66523658861
2025-05-05,99572.12089184397
2025-05-06,98174.40816654079
2025-05-07,98627.53699779429
2025-05-08,102540.38192914485
2025-05-09,100904.00598822857
2025-05-12,104433.87192315776
2025-05-13,108385.51490608524
2025-05-14,108821.1594191337
2025-05-15,108379.68284792324
2025-05-16,109914.9776785989
2025-05-19,111191.68181721351
2025-05-20,110971.781107013
2025-05-21,108519.77648674148
2025-05-22,109125.01185260278
2025-05-23,109499.64057872661
2025-05-27,112998.11252774662
2025-05-28,112986.8764176363
2025-05-29,112439.00274391925
2025-05-30,114535.88966757077
2025-06-02,115983.49083827411
2025-06-03,117913.60981090354
2025-06-04,118156.22063291453
2025-06-05,117541.43428061827
2025-06-06,119174.94076188223
2025-06-09,117580.0524282081
2025-06-10,116389.21799041348
2025-06-11,117775.79638816463
2025-06-12,117141.13077646816
2025-06-13,115203.3938411975
2025-06-16,117127.45649279212
2025-06-17,115756.09099880558
2025-06-18,117023.1772733566
2025-06-20,117439.66563545982
2025-06-23,118124.19129335262
2025-06-24,120699.06219523572
2025-06-25,119782.1336630154
2025-06-26,121705.24182198064
2025-06-27,121868.37622893565
2025-06-30,125625.92591978265
2025-07-01,122961.26925269101
2025-07-02,124459.97601834865
2025-07-03,125539.83642509185
2025-07-07,126666.24983246611
2025-07-08,125067.29708112113
2025-07-09,127507.97143886253
2025-07-10,127447.13583084363
2025-07-11,126256.94501280475
2025-07-14,128654.84589988292
2025-07-15,127583.14639755766
2025-07-16,128063.29713063528
2025-07-17,128818.38459275641
2025-07-18,129738.51301504881
2025-07-21,128626.16449314798
2025-07-22,126297.05291793999
2025-07-23,128435.78402940236
2025-07-24,127237.36578432562
2025-07-25,128915.79067298792
2025-07-28,128916.6156775665
2025-07-29,127103.97242889338
2025-07-30,128459.41643395674
2025-07-31,130028.31501014162
2025-08-01,127377.54044003313
2025-08-04,130518.06719308312
2025-08-05,129468.16543081887
2025-08-06,130522.10153175588
2025-08-07,133828.48250769475
2025-08-08,135268.7401293843
2025-08-11,135004.35960975642
2025-08-12,138185.03476853782
2025-08-13,135970.8166524286
2025-08-14,134710.03080919757
2025-08-15,135311.27803592358
2025-08-18,136627.66742959002
2025-08-19,132093.0167259491
2025-08-20,130916.00858474526
2025-08-21,130275.83158353227
2025-08-22,133867.65769880562
2025-08-25,133915.49190930295
2025-08-26,136539.34785412284
2025-08-27,134960.59149698893
2025-08-28,136710.80354755872
2025-08-29,135312.53770643816
2025-09-02,134180.1298899296
2025-09-03,134819.7936637972
2025-09-04,136463.09930697194
2025-09-05,135316.48159196702
2025-09-08,139816.21107598938
2025-09-09,141360.07893536022
2025-09-10,142506.42366221343
2025-09-11,142248.80847018416
2025-09-12,141941.68020720835
2025-09-15,142123.19016850498
2025-09-16,142060.28985117402
2025-09-17,143042.2298532345
2025-09-18,145148.63345511648
2025-09-19,147881.5618878206
2025-09-22,147303.24947074664
2025-09-23,146877.55517377635
2025-09-24,145035.96640390003
2025-09-25,143725.79828134025
2025-09-26,144438.7206417127
2025-09-29,149369.4740343524
2025-09-30,149676.05938163886
2025-10-01,150207.35765528723
2025-10-02,151269.32158253857
2025-10-03,149445.82292200046
2025-10-06,147233.28919705204
2025-10-07,147689.35986514922
2025-10-08,149164.34265047006
2025-10-09,149148.22697167072
2025-10-10,141968.2576007775
2025-10-13,145328.11753536406
2025-10-14,144789.8877458572
2025-10-15,146666.41844529877
2025-10-16,144633.79933583282
2025-10-17,143479.2026093851
2025-10-20,143710.44395398296
2025-10-21,143383.06496229625
2025-10-22,138910.34806776844
2025-10-23,142904.87137606696
2025-10-24,145244.5369818244
2025-10-27,148236.5461113777
2025-10-28,146893.81426540646
2025-10-29,149341.52194519422
2025-10-30,144394.58703832762
2025-10-31,148367.51193946032
2025-11-03,150205.3862017747
2025-11-04,143188.72964684348
2025-11-05,146128.40769686238
2025-11-06,139965.3928099166
2025-11-07,140812.55091365092
2025-11-10,147276.45956994005
2025-11-11,143986.35662798572
2025-11-12,142877.8685845943
2025-11-13,136366.96912866883
2025-11-14,136291.48937039712
2025-11-17,135524.87513216762
2025-11-18,133439.73336006168
2025-11-19,135405.1912916494
2025-11-20,126866.80070569707
2025-11-21,127789.68027687755
2025-11-24,136035.40663550256
2025-11-25,136591.0888647281
2025-11-26,141266.617843584
2025-11-28,143649.61393552588
2025-12-01,142872.48988635003
2025-12-02,143789.85850841194
2025-12-03,144662.61527291764
2025-12-04,146034.43020308082
2025-12-05,147801.6742045056
2025-12-08,149921.21040677224
2025-12-09,152030.46008450663
2025-12-10,154229.73595315413
2025-12-11,153506.73034325795
2025-12-12,145140.4481556418
2025-12-15,143621.3527918646
2025-12-16,144218.6236727673
2025-12-17,139180.86148116147
2025-12-18,144673.0859191851
2025-12-19,149611.35467356158
2025-12-22,150491.46245942116
2025-12-23,149833.40298865043
2025-12-24,151149.17698069077
2025-12-26,150846.39238634327
2025-12-29,149294.81230973778
2025-12-30,148152.22222033492
2025-12-31,145394.88951607386
2026-01-02,149540.23044498023
2026-01-05,152672.49618977902
2026-01-06,160328.8362104699
2026-01-07,157255.0897108519
2026-01-08,154019.90368906976
2026-01-09,159046.77118976193
2026-01-12,163231.75975131302
2026-01-13,163864.59988639434
2026-01-14,161952.80682505728
2026-01-15,163084.18212933384
2026-01-16,163043.64076189074
2026-01-20,162316.73173267153
2026-01-21,164107.90728635958
2026-01-22,162971.77695167676
2026-01-23,163593.37609057943
2026-01-26,164616.894961239
2026-01-27,167964.40704219087
2026-01-28,167911.7713664925
2026-01-29,167556.7622848891
2026-01-30,157460.3365049043
2026-02-02,159298.2966408583
2026-02-03,160899.2068232411
2026-02-04,149629.72637792895
2026-02-05,144747.63952436266
2026-02-06,153813.23077213045
2026-02-09,157888.20180218536
2026-02-10,155259.9742474921
2026-02-11,157190.30583556104
2026-02-12,153085.39688956732
2026-02-13,156455.76801006103
2026-02-17,155321.58351984544
2026-02-18,158216.2119999185
2026-02-19,158013.72436584104
2026-02-20,158818.14987311087
2026-02-23,157710.3078421435
2026-02-24,158745.0652391346
2026-02-25,161711.64534271669
2026-02-26,158445.0303452813
