news_alpha,execution,return,max_drawdown,sharpe,turnover,gemini_rebalances,total_rebalances
0.0,close,1.814995710046826,-0.25452040531764175,2.6623745530480867,3.4814030131854996,3,13
0.0,next_open,1.8879863546738256,-0.2558531150237999,2.7251596503330364,3.4470882365824718,3,13
0.05,close,1.7590773967983124,-0.25452040531764153,2.617056998209651,3.6610917553635516,3,13
0.05,next_open,1.8360177959071113,-0.2558531150238009,2.68554648462097,3.628337199539417,3,13
0.1,close,1.6838627085013567,-0.25936949506152074,2.5430187113771145,3.5108976474435067,3,13
0.1,next_open,1.7476841585943794,-0.260440715297771,2.603053307974557,3.5031690481547426,3,13
0.2,close,1.7316140952099977,-0.2593694950615206,2.56597428051966,3.7105619831069476,3,13
0.2,next_open,1.8119951330069402,-0.26044071529777046,2.638665077434313,3.69206223299757,3,13
0.35,close,1.7316140952099977,-0.2593694950615206,2.56597428051966,3.7105619831069476,3,13
0.35,next_open,1.8119951330069402,-0.26044071529777046,2.638665077434313,3.69206223299757,3,13
0.5,close,1.7316140952099977,-0.2593694950615206,2.56597428051966,3.7105619831069476,3,13
0.5,next_open,1.8119951330069402,-0.26044071529777046,2.638665077434313,3.69206223299757,3,13
0.75,close,1.7316140952099977,-0.2593694950615206,2.56597428051966,3.7105619831069476,3,13
0.75,next_open,1.8119951330069402,-0.26044071529777046,2.638665077434313,3.69206223299757,3,13
1.0,close,1.8694924504966357,-0.2593694950615206,2.699727602343929,3.51349166406366,3,13
1.0,next_open,1.951671282852284,-0.2604407152977707,2.771451941007457,3.4969360471216917,3,13
1.5,close,1.8694924504966357,-0.2593694950615206,2.699727602343929,3.51349166406366,3,13
1.5,next_open,1.951671282852284,-0.2604407152977707,2.771451941007457,3.4969360471216917,3,13
2.0,close,1.8694924504966357,-0.2593694950615206,2.699727602343929,3.51349166406366,3,13
2.0,next_open,1.951671282852284,-0.2604407152977707,2.771451941007457,3.4969360471216917,3,13
