test,execution,fee,rebalance_offset,top_k,return,max_drawdown,sharpe,turnover
execution_cost,close,0.001,0,10,0.6930277204634343,-0.22299245463322537,1.3762066624579081,6.453913220515274
execution_cost,close,0.002,0,10,0.6821232061872284,-0.22349724372013513,1.3613801035824487,6.453913220515274
execution_cost,close,0.005,0,10,0.6497779179538781,-0.22501161098086553,1.316487989773199,6.453913220515274
execution_cost,next_open,0.001,0,10,0.6576369375834183,-0.2218311287159338,1.3297193036178117,6.42628764508358
execution_cost,next_open,0.002,0,10,0.6470059484168615,-0.22233355117501052,1.3148235237114554,6.42628764508358
execution_cost,next_open,0.005,0,10,0.6154703542483548,-0.22384081855224214,1.269748476404232,6.42628764508358
schedule_offset,next_open,0.001,0,10,0.6576369375834183,-0.2218311287159338,1.3297193036178117,6.42628764508358
schedule_offset,next_open,0.001,1,10,0.8050912843865832,-0.2224860902247775,1.5010431995317783,6.323002985797293
schedule_offset,next_open,0.001,2,10,0.6856424672823,-0.23704488194024198,1.2724143655747862,6.446266298547218
schedule_offset,next_open,0.001,3,10,0.8185632802858542,-0.238233311236685,1.396769552139903,6.475828912777586
schedule_offset,next_open,0.001,4,10,0.8714898943567959,-0.22949855256890406,1.4608920182470444,6.1776969233304735
schedule_offset,next_open,0.001,5,10,0.9510745655842727,-0.1945763275532112,1.5519418042807172,6.393134594089268
schedule_offset,next_open,0.001,6,10,0.8772585260136727,-0.21618486455423946,1.4727333891419923,5.995686287717189
schedule_offset,next_open,0.001,7,10,0.9625181260911115,-0.21961652994932168,1.5569964581245141,5.712064710742275
schedule_offset,next_open,0.001,8,10,0.9269712091166953,-0.2375259336358282,1.4906050755610711,5.816448782052719
schedule_offset,next_open,0.001,9,10,0.6175820728305934,-0.23453912382480402,1.1977044621441484,6.257460342004374
schedule_offset,next_open,0.001,10,10,0.4587329467999006,-0.23994686210216642,0.9959169428056949,6.608253660796525
schedule_offset,next_open,0.001,11,10,0.5245571903786244,-0.24191752897825614,1.0569799005459515,6.127073364231022
schedule_offset,next_open,0.001,12,10,0.5715951329245319,-0.2194791387574767,1.1517922198834027,5.923044728432565
schedule_offset,next_open,0.001,13,10,0.669441800018576,-0.21284416314138443,1.2332655237103538,6.043599900737819
schedule_offset,next_open,0.001,14,10,0.5953324284429897,-0.2099950063231124,1.1662597396652923,6.204896720615158
schedule_offset,next_open,0.001,15,10,0.6707326264539619,-0.19582640070250157,1.2612938588749416,5.365195327703571
schedule_offset,next_open,0.001,16,10,0.6883907644838829,-0.20599223740855932,1.281075306794134,5.466407230691776
schedule_offset,next_open,0.001,17,10,0.8385314025348762,-0.211456247368504,1.423863774410396,6.25503905603353
schedule_offset,next_open,0.001,18,10,0.8711264429719412,-0.2244599373920212,1.4570411824346152,5.654138873000184
schedule_offset,next_open,0.001,19,10,0.6198511152459136,-0.2333244282993293,1.173367118662771,6.755940909305828
schedule_offset,next_open,0.001,20,10,0.44007730610569684,-0.21426680009792598,0.9787019234041437,6.430751140102345
