ticker,company,sector,sub_industry,average_2024_dollar_volume,median_2024_close,first_cached_date,last_cached_date,sessions_2024
NVDA,Nvidia,Information Technology,Semiconductors,37792925181.20374,115.10551071166992,2009-01-02,2026-07-10,252
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,22053135151.65909,210.6949996948242,2010-06-29,2026-07-10,252
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",11587584731.508945,212.42486572265625,2009-01-02,2026-07-10,252
AMD,Advanced Micro Devices,Information Technology,Semiconductors,8581547042.885126,157.61499786376953,2009-01-02,2026-07-10,252
MSFT,Microsoft,Information Technology,Systems Software,8491992816.3488,412.6361999511719,2009-01-02,2026-07-10,252
AMZN,Amazon,Consumer Discretionary,Broadline Retail,7524532337.357482,183.43000030517578,2009-01-02,2026-07-10,252
META,Meta Platforms,Communication Services,Interactive Media & Services,7284040987.724146,501.3694305419922,2012-05-18,2026-07-10,252
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",5252520338.765452,62.566999435424805,2009-01-02,2026-07-10,252
AVGO,Broadcom,Information Technology,Semiconductors,4671956983.353576,146.97584533691406,2009-08-06,2026-07-10,252
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4432878668.592041,163.56808471679688,2009-01-02,2026-07-10,252
LLY,Lilly (Eli),Health Care,Pharmaceuticals,2551357898.954676,787.5146179199219,2009-01-02,2026-07-10,252
COIN,Coinbase,Financials,Financial Exchanges & Data,2452178036.9079504,218.12000274658203,2021-04-14,2026-07-10,252
NFLX,Netflix,Communication Services,Movies & Entertainment,2341820561.43517,64.78400039672852,2009-01-02,2026-07-10,252
MU,Micron Technology,Information Technology,Semiconductors,2341338117.0557356,102.33720779418945,2009-01-02,2026-07-10,252
PLTR,Palantir Technologies,Information Technology,Application Software,2266829999.427528,25.960000038146973,2020-09-30,2026-07-10,252
UNH,UnitedHealth Group,Health Care,Managed Health Care,2060829627.6980808,494.2263641357422,2009-01-02,2026-07-10,252
V,Visa Inc.,Financials,Transaction & Payment Processing Services,1900117520.8485558,272.1309509277344,2009-01-02,2026-07-10,252
INTC,Intel,Information Technology,Semiconductors,1773921402.1549938,30.431952476501465,2009-01-02,2026-07-10,252
JPM,JPMorgan Chase,Financials,Diversified Banks,1763258860.676399,193.31163787841797,2009-01-02,2026-07-10,252
CRM,Salesforce,Information Technology,Application Software,1754956641.1360302,274.4343719482422,2009-01-02,2026-07-10,252
XOM,ExxonMobil,Energy,Integrated Oil & Gas,1721913223.5822647,107.84683990478516,2009-01-02,2026-07-10,252
ADBE,Adobe Inc.,Information Technology,Application Software,1707667809.2297752,520.1650085449219,2009-01-02,2026-07-10,252
BA,Boeing,Industrials,Aerospace & Defense,1644954912.1723115,177.31000518798828,2009-01-02,2026-07-10,252
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1580022515.8623104,836.7542419433594,2009-01-02,2026-07-10,252
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1574169222.8048053,417.0800018310547,2009-01-02,2026-07-10,252
CRWD,CrowdStrike,Information Technology,Systems Software,1497684745.1032426,78.27750015258789,2019-06-12,2026-07-10,252
QCOM,Qualcomm,Information Technology,Semiconductors,1469510896.7728448,161.15298461914062,2009-01-02,2026-07-10,252
BAC,Bank of America,Financials,Diversified Banks,1409800862.88573,37.632835388183594,2009-01-02,2026-07-10,252
UBER,Uber,Industrials,Passenger Ground Transportation,1342270086.9541895,71.20500183105469,2019-05-10,2026-07-10,252
PANW,Palo Alto Networks,Information Technology,Systems Software,1200156146.223474,167.87999725341797,2012-07-20,2026-07-10,252
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1185397060.7582214,194.09407806396484,2009-01-02,2026-07-10,252
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",1183087137.8228748,115.76728820800781,2016-08-17,2026-07-10,252
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,1180201013.4917002,345.42454528808594,2009-01-02,2026-07-10,252
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1162176896.0838652,66.6819953918457,2009-01-02,2026-07-10,252
MA,Mastercard,Financials,Transaction & Payment Processing Services,1153626129.1213505,462.1614685058594,2009-01-02,2026-07-10,252
ORCL,Oracle Corporation,Information Technology,Application Software,1152554735.3975146,134.81717681884766,2009-01-02,2026-07-10,252
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1093301197.707297,140.5742950439453,2009-01-02,2026-07-10,252
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,1067136600.8690305,98.28880310058594,2009-01-02,2026-07-10,252
NOW,ServiceNow,Information Technology,Systems Software,1052151569.3938845,156.35199737548828,2012-06-29,2026-07-10,252
PG,Procter & Gamble,Consumer Staples,Personal Care Products,1050318159.502417,158.5085220336914,2009-01-02,2026-07-10,252
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1048847991.884607,147.76600646972656,2009-01-02,2026-07-10,252
MRK,Merck & Co.,Health Care,Pharmaceuticals,1019357054.5910457,111.75369262695312,2009-01-02,2026-07-10,252
WFC,Wells Fargo,Financials,Diversified Banks,1008889263.1096386,55.16451644897461,2009-01-02,2026-07-10,252
TXN,Texas Instruments,Information Technology,Semiconductors,983787831.8528796,184.1841049194336,2009-01-02,2026-07-10,252
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,977951163.0180117,446.32788085937506,2009-01-02,2026-07-10,252
MRVL,Marvell Technology,Information Technology,Semiconductors,959410768.5210727,70.72582626342773,2009-01-02,2026-07-10,252
