signal_date,execution_date,ticker,action,weight_before,weight_after,weight_change,score
2025-01-02,2025-01-02,AVGO,BUY,0.0,0.1,0.1,0.9318181818181818
2025-01-02,2025-01-02,AXP,BUY,0.0,0.1,0.1,1.0984848484848484
2025-01-02,2025-01-02,GE,BUY,0.0,0.1,0.1,0.9015151515151515
2025-01-02,2025-01-02,GS,BUY,0.0,0.1,0.1,1.022727272727273
2025-01-02,2025-01-02,ISRG,BUY,0.0,0.1,0.1,1.0732323232323233
2025-01-02,2025-01-02,META,BUY,0.0,0.1,0.1,1.0782828282828283
2025-01-02,2025-01-02,NFLX,BUY,0.0,0.1,0.1,1.148989898989899
2025-01-02,2025-01-02,NVDA,BUY,0.0,0.1,0.1,1.0984848484848486
2025-01-02,2025-01-02,ORCL,BUY,0.0,0.1,0.1,0.8611111111111112
2025-01-02,2025-01-02,WMT,BUY,0.0,0.1,0.1,1.0631313131313131
2025-03-04,2025-03-04,AVGO,BUY,0.08058170504259764,0.1,0.01941829495740237,0.7550505050505051
2025-03-04,2025-03-04,AXP,SELL,0.09493286412603566,0.0,-0.09493286412603566,0.5833333333333334
2025-03-04,2025-03-04,GE,SELL,0.11755770178702168,0.1,-0.01755770178702168,0.9772727272727274
2025-03-04,2025-03-04,GS,SELL,0.10127814485904081,0.1,-0.0012781448590408057,0.9015151515151514
2025-03-04,2025-03-04,ISRG,SELL,0.10616440451868989,0.1,-0.006164404518689881,0.851010101010101
2025-03-04,2025-03-04,META,SELL,0.10649058936007046,0.0,-0.10649058936007046,0.5126262626262625
2025-03-04,2025-03-04,MMM,BUY,0.0,0.1,0.1,1.0934343434343434
2025-03-04,2025-03-04,NFLX,SELL,0.10936188426331625,0.1,-0.009361884263316245,0.9368686868686869
2025-03-04,2025-03-04,NVDA,SELL,0.08361786849704649,0.0,-0.08361786849704649,0.542929292929293
2025-03-04,2025-03-04,ORCL,BUY,0.09480023776302571,0.1,0.005199762236974298,0.7247474747474748
2025-03-04,2025-03-04,PM,BUY,0.0,0.1,0.1,0.9772727272727273
2025-03-04,2025-03-04,T,BUY,0.0,0.1,0.1,0.9065656565656566
2025-03-04,2025-03-04,WMT,SELL,0.10521459978315507,0.1,-0.005214599783155069,1.0126262626262625
2025-04-30,2025-04-30,AVGO,SELL,0.1015265818936922,0.0,-0.1015265818936922,0.3459595959595959
2025-04-30,2025-04-30,BKNG,BUY,0.0,0.1,0.1,0.9772727272727272
2025-04-30,2025-04-30,GE,SELL,0.10015604933732034,0.0,-0.10015604933732034,0.5580808080808082
2025-04-30,2025-04-30,GILD,BUY,0.0,0.1,0.1,1.0833333333333335
2025-04-30,2025-04-30,GS,SELL,0.09289718566056165,0.0,-0.09289718566056165,0.5631313131313131
2025-04-30,2025-04-30,IBM,BUY,0.0,0.1,0.1,0.9570707070707071
2025-04-30,2025-04-30,ISRG,SELL,0.09114602859305475,0.0,-0.09114602859305475,0.6540404040404041
2025-04-30,2025-04-30,MMM,BUY,0.09389810505016988,0.1,0.006101894949830128,0.9621212121212122
2025-04-30,2025-04-30,MO,BUY,0.0,0.1,0.1,1.0429292929292928
2025-04-30,2025-04-30,NFLX,SELL,0.11472898097816997,0.1,-0.014728980978169964,1.1641414141414141
2025-04-30,2025-04-30,ORCL,SELL,0.08842494260699338,0.0,-0.08842494260699338,0.12878787878787878
2025-04-30,2025-04-30,PM,SELL,0.11071485616925279,0.1,-0.010714856169252787,1.2095959595959596
2025-04-30,2025-04-30,T,SELL,0.10526692175179646,0.1,-0.005266921751796452,1.2095959595959596
2025-04-30,2025-04-30,TMUS,BUY,0.0,0.1,0.1,1.0227272727272727
