ticker,sector,final_weight,estimated_value
NOC,Industrials,0.03382952688102398,4554.636959887898
NFLX,Communication Services,0.03030404636996255,4079.9840363185804
CME,Financials,0.027958331899280913,3764.168865060499
TYL,Information Technology,0.023876819933968063,3214.6546695230436
CSGP,Real Estate,0.023713096042921995,3192.6117101876184
FDS,Financials,0.020716544236899146,2789.1710810611676
LULU,Consumer Discretionary,0.020637287045938684,2778.500292416828
TTD,Communication Services,0.019478046995254756,2622.42605588386
NEM,Materials,0.019304794637097746,2599.100231770952
FISV,Financials,0.018911417807208498,2546.137958462243
CHTR,Communication Services,0.01838938001518851,2475.853421810144
COIN,Financials,0.017249924672796985,2322.442898664185
WDAY,Information Technology,0.01719997335367465,2315.717704869135
INTU,Information Technology,0.016975794015268802,2285.535328865549
MOS,Materials,0.016298426815823285,2194.3380238349287
PLTR,Information Technology,0.01621776091198622,2183.477573190402
ALB,Materials,0.015645001984162646,2106.364198506042
NOW,Information Technology,0.014356515975446401,1932.8889377305416
ECHO,Communication Services,0.013742146327150298,1850.1733054072183
ORCL,Information Technology,0.0111021052120113,1494.7314784811488
MA,Financials,0.009654293953580055,1299.805469264872
PANW,Information Technology,0.009289696537824008,1250.7179111940084
VEEV,Health Care,0.008917650356072707,1200.6274888198143
TECH,Health Care,0.008862676297724428,1193.2260587357137
TMO,Health Care,0.008848535299543546,1191.322186027388
EA,Communication Services,0.008498242225624878,1144.1604924313226
ULTA,Consumer Discretionary,0.008465466730169489,1139.7477649490625
ADP,Industrials,0.008259470459051349,1112.0134654617098
ERIE,Financials,0.00812128332495701,1093.4086463479043
STX,Information Technology,0.008037484043164669,1082.1263334912753
NVR,Consumer Discretionary,0.007796728444269272,1049.7122133386222
VRT,Industrials,0.007653647436346212,1030.44850772322
AES,Utilities,0.007585296584959683,1021.2460936587325
EXPE,Consumer Discretionary,0.007344259314672567,988.7940506898433
CPAY,Financials,0.007269193226803837,978.687531037838
AMAT,Information Technology,0.00708853152907187,954.3641507960742
TPL,Energy,0.00706759025815698,951.544723647967
RCL,Consumer Discretionary,0.007058716280341614,950.3499760098686
SYY,Consumer Staples,0.0067349440015140715,906.7589085698376
BXP,Real Estate,0.006581481258999988,886.097458544875
IRM,Real Estate,0.006579601831378493,885.8444218843742
ANET,Information Technology,0.006473536337329228,871.5642984565609
LYV,Communication Services,0.00641835036821903,864.1343377757471
TGT,Consumer Staples,0.006395211059649559,861.0189779184421
XYZ,Financials,0.006366587170894978,857.1652018335492
BRK-B,Financials,0.006295792826281934,847.6338081590346
NCLH,Consumer Discretionary,0.006276163106352857,844.9909616239454
KLAC,Information Technology,0.006235829003043009,839.5605812841595
TPR,Consumer Discretionary,0.0061978033294446695,834.4409962836144
GNRC,Industrials,0.006162055854924869,829.6281365222837
INTC,Information Technology,0.006161146490021356,829.5057042159103
PSKY,Communication Services,0.006159538291359377,829.2891844552156
GEV,Industrials,0.0058880728141165635,792.7404410946552
COHR,Information Technology,0.005871766460780588,790.5450358841057
MRNA,Health Care,0.005820308242737522,783.6169608148564
IFF,Materials,0.0056981059624998465,767.16426184243
SBAC,Real Estate,0.005671106429772049,763.5291808643775
AMD,Information Technology,0.005572187047651859,750.2111739221458
LMT,Industrials,0.005535048492798447,745.2110261173281
JBL,Information Technology,0.005491226875498321,739.3111044749365
ON,Information Technology,0.005478569716476004,737.6070083906795
MGM,Consumer Discretionary,0.005428133083617421,730.8164744007154
DVA,Health Care,0.005350422310211174,720.3538876201682
HPE,Information Technology,0.005330494186484772,717.6708655021024
DELL,Information Technology,0.005325026944533092,716.934783606859
IBKR,Financials,0.005324199907154382,716.8234354634004
DOW,Materials,0.005295174784493418,712.9156392680283
SO,Utilities,0.0052928882213862175,712.607787938159
NDAQ,Financials,0.005250652436327672,706.921374754372
MRVL,Information Technology,0.005245485952435259,706.2257854080649
SJM,Consumer Staples,0.005215499721994767,702.1885905063357
AMCR,Materials,0.005180146982723412,697.4288759089402
CNC,Health Care,0.005154154923065916,693.9294360262604
VST,Utilities,0.005116308747300798,688.8340177091064
SMCI,Information Technology,0.005105064153653306,687.3201023059763
PRU,Financials,0.00510041063874532,686.6935765177842
SYK,Health Care,0.005092556101469068,685.6360812147299
STLD,Materials,0.005069377130269124,682.5153813808029
