date,equity
2025-01-02,100000.0
2025-01-03,102486.4022826726
2025-01-06,104957.97852508696
2025-01-07,102158.13586621657
2025-01-08,101467.47258433331
2025-01-10,103575.63369216493
2025-01-13,100915.60755929684
2025-01-14,103466.82616561459
2025-01-15,106894.72145625473
2025-01-16,108909.90684846858
2025-01-17,110919.14082284243
2025-01-21,114034.04896656414
2025-01-22,116146.64794906144
2025-01-23,117848.19423791982
2025-01-24,116930.89157887863
2025-01-27,103460.11900060764
2025-01-28,108460.56865704196
2025-01-29,110262.7482774027
2025-01-30,113705.00147316544
2025-01-31,112142.93074190927
2025-02-03,111701.16514958131
2025-02-04,115815.44805142192
2025-02-05,117149.64652547752
2025-02-06,119335.37282116145
2025-02-07,119549.53887079828
2025-02-10,121650.72823086088
2025-02-11,119128.12039620885
2025-02-12,119282.98612283112
2025-02-13,124040.39779085903
2025-02-14,127363.12730819437
2025-02-18,126898.48715642646
2025-02-19,124823.08039956774
2025-02-20,117847.84524859277
2025-02-21,109680.91826670032
2025-02-24,105739.75803402244
2025-02-25,102891.2810123999
2025-02-26,105229.83387179898
2025-02-27,99642.03066324662
2025-02-28,102017.28535445317
2025-03-03,97210.91379304539
2025-03-04,95866.4077505359
2025-03-05,97639.89633153657
2025-03-06,89206.92538602842
2025-03-07,89745.48207411646
2025-03-10,82174.53519916053
2025-03-11,83941.81864950633
2025-03-12,87110.93917626106
2025-03-13,84154.94596534646
2025-03-14,88797.36259994349
2025-03-17,90473.01974680692
2025-03-18,85951.3676594515
2025-03-19,89789.14560749134
2025-03-20,90869.81703465914
2025-03-21,92409.91634942089
2025-03-24,98486.63159379849
2025-03-25,98859.24680945123
2025-03-26,94422.90201755243
2025-03-27,90537.81785131582
2025-03-28,88433.01564622343
2025-03-31,87675.94926385782
2025-04-01,89478.13592678682
2025-04-02,92451.72131438553
2025-04-03,82541.88516386772
2025-04-04,74443.26554008182
2025-04-07,76474.76655521386
2025-04-08,76042.29194791697
2025-04-09,90346.05329928291
2025-04-10,84748.07936173961
2025-04-11,85936.75623033884
2025-04-14,86039.4493973704
2025-04-15,87889.69814078792
2025-04-16,84879.28693799976
2025-04-17,85460.49541026157
2025-04-21,81595.64854614556
2025-04-22,85883.20053549684
2025-04-23,89829.23696746009
2025-04-24,93856.59896914622
2025-04-25,96164.02211405696
2025-04-28,97331.30732710529
2025-04-29,98104.12300967588
2025-04-30,97281.07624546286
2025-05-01,97366.57081349911
2025-05-02,100135.70980445061
2025-05-05,99734.35805313636
2025-05-06,99144.00387219532
2025-05-07,99306.08971645647
2025-05-08,102558.0332762099
2025-05-09,100750.30690300532
2025-05-12,102992.81126270586
2025-05-13,106459.6521102026
2025-05-14,106861.04355495684
2025-05-15,106875.06954647221
2025-05-16,108112.75598243356
2025-05-19,109568.33392303117
2025-05-20,109345.44124913296
2025-05-21,107577.95929868224
2025-05-22,108057.85020367826
2025-05-23,108609.45185196104
2025-05-27,111366.89199219471
2025-05-28,111597.97860040104
2025-05-29,110662.21792425426
2025-05-30,113100.91329192389
2025-06-02,114689.62729641148
2025-06-03,116435.15835698076
2025-06-04,116680.91876961246
2025-06-05,116139.10365019682
2025-06-06,117759.05252868045
2025-06-09,115655.87863761136
2025-06-10,114754.76830165954
2025-06-11,115790.86841235754
2025-06-12,115202.19182515508
2025-06-13,113491.78389483999
2025-06-16,115019.785535476
